[34m[1mwandb[0m: [33mWARNING[0m The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
                                                                                                                                                                                                                         
{'loss': 9.9216, 'grad_norm': 1.9765625, 'learning_rate': 4.999999458402681e-05, 'epoch': 0.0}
{'loss': 9.8889, 'grad_norm': 1.828125, 'learning_rate': 4.999999448510697e-05, 'epoch': 0.0}
{'loss': 9.8906, 'grad_norm': 2.125, 'learning_rate': 4.999999438529193e-05, 'epoch': 0.0}
{'loss': 9.9278, 'grad_norm': 1.8046875, 'learning_rate': 4.9999994284581684e-05, 'epoch': 0.0}
{'loss': 9.8679, 'grad_norm': 1.96875, 'learning_rate': 4.9999994182976246e-05, 'epoch': 0.0}
{'loss': 9.8168, 'grad_norm': 2.265625, 'learning_rate': 4.99999940804756e-05, 'epoch': 0.0}
{'loss': 9.6508, 'grad_norm': 2.484375, 'learning_rate': 4.999999397707975e-05, 'epoch': 0.0}
{'loss': 9.9967, 'grad_norm': 1.9921875, 'learning_rate': 4.99999938727887e-05, 'epoch': 0.0}
{'loss': 9.9936, 'grad_norm': 1.90625, 'learning_rate': 4.999999376760245e-05, 'epoch': 0.0}
{'loss': 9.9787, 'grad_norm': 2.109375, 'learning_rate': 4.9999993661521e-05, 'epoch': 0.0}
{'loss': 9.6833, 'grad_norm': 2.125, 'learning_rate': 4.999999355454434e-05, 'epoch': 0.0}
{'loss': 9.7165, 'grad_norm': 2.09375, 'learning_rate': 4.999999344667249e-05, 'epoch': 0.0}
{'loss': 9.8224, 'grad_norm': 1.84375, 'learning_rate': 4.999999333790543e-05, 'epoch': 0.0}
{'loss': 9.665, 'grad_norm': 2.21875, 'learning_rate': 4.999999322824317e-05, 'epoch': 0.0}
{'loss': 9.912, 'grad_norm': 1.890625, 'learning_rate': 4.9999993117685704e-05, 'epoch': 0.0}
{'loss': 9.9542, 'grad_norm': 2.125, 'learning_rate': 4.9999993006233034e-05, 'epoch': 0.0}
{'loss': 10.1286, 'grad_norm': 2.328125, 'learning_rate': 4.999999289388517e-05, 'epoch': 0.0}
{'loss': 9.8683, 'grad_norm': 1.90625, 'learning_rate': 4.99999927806421e-05, 'epoch': 0.0}
{'loss': 9.8773, 'grad_norm': 1.8515625, 'learning_rate': 4.999999266650383e-05, 'epoch': 0.0}
{'loss': 10.0219, 'grad_norm': 2.125, 'learning_rate': 4.9999992551470355e-05, 'epoch': 0.0}
{'loss': 9.8036, 'grad_norm': 1.9140625, 'learning_rate': 4.999999243554168e-05, 'epoch': 0.0}
{'loss': 9.7792, 'grad_norm': 2.09375, 'learning_rate': 4.9999992318717804e-05, 'epoch': 0.0}
{'loss': 9.8582, 'grad_norm': 2.125, 'learning_rate': 4.999999220099872e-05, 'epoch': 0.0}
{'loss': 9.7825, 'grad_norm': 1.9453125, 'learning_rate': 4.9999992082384444e-05, 'epoch': 0.0}
{'loss': 9.8586, 'grad_norm': 1.953125, 'learning_rate': 4.999999196287496e-05, 'epoch': 0.0}
{'loss': 9.8955, 'grad_norm': 1.8359375, 'learning_rate': 4.999999184247028e-05, 'epoch': 0.0}
{'loss': 9.8633, 'grad_norm': 1.9296875, 'learning_rate': 4.9999991721170395e-05, 'epoch': 0.0}
{'loss': 9.7984, 'grad_norm': 1.6875, 'learning_rate': 4.99999915989753e-05, 'epoch': 0.0}
{'loss': 9.7264, 'grad_norm': 2.078125, 'learning_rate': 4.999999147588501e-05, 'epoch': 0.0}
{'loss': 9.7919, 'grad_norm': 2.09375, 'learning_rate': 4.9999991351899524e-05, 'epoch': 0.0}
{'loss': 9.8102, 'grad_norm': 1.9140625, 'learning_rate': 4.999999122701883e-05, 'epoch': 0.0}
{'loss': 9.8649, 'grad_norm': 1.7890625, 'learning_rate': 4.9999991101242925e-05, 'epoch': 0.0}
{'loss': 9.8684, 'grad_norm': 1.875, 'learning_rate': 4.999999097457183e-05, 'epoch': 0.0}
{'loss': 9.8125, 'grad_norm': 1.75, 'learning_rate': 4.999999084700553e-05, 'epoch': 0.0}
{'loss': 9.8921, 'grad_norm': 1.8671875, 'learning_rate': 4.9999990718544034e-05, 'epoch': 0.0}
{'loss': 9.7726, 'grad_norm': 2.1875, 'learning_rate': 4.999999058918733e-05, 'epoch': 0.0}
{'loss': 9.791, 'grad_norm': 1.8046875, 'learning_rate': 4.999999045893542e-05, 'epoch': 0.0}
{'loss': 9.662, 'grad_norm': 2.3125, 'learning_rate': 4.9999990327788315e-05, 'epoch': 0.0}
{'loss': 9.9625, 'grad_norm': 1.7265625, 'learning_rate': 4.9999990195746e-05, 'epoch': 0.0}
{'loss': 9.6978, 'grad_norm': 2.640625, 'learning_rate': 4.999999006280849e-05, 'epoch': 0.0}
{'loss': 9.7902, 'grad_norm': 1.9375, 'learning_rate': 4.9999989928975774e-05, 'epoch': 0.0}
{'loss': 9.8671, 'grad_norm': 1.890625, 'learning_rate': 4.9999989794247865e-05, 'epoch': 0.0}
{'loss': 9.7438, 'grad_norm': 1.9140625, 'learning_rate': 4.9999989658624745e-05, 'epoch': 0.0}
{'loss': 9.7059, 'grad_norm': 1.7578125, 'learning_rate': 4.9999989522106425e-05, 'epoch': 0.0}
{'loss': 9.7164, 'grad_norm': 1.7109375, 'learning_rate': 4.999998938469291e-05, 'epoch': 0.0}
{'loss': 9.836, 'grad_norm': 1.828125, 'learning_rate': 4.999998924638419e-05, 'epoch': 0.0}
{'loss': 9.8657, 'grad_norm': 1.71875, 'learning_rate': 4.999998910718026e-05, 'epoch': 0.0}
{'loss': 9.7833, 'grad_norm': 1.8046875, 'learning_rate': 4.9999988967081134e-05, 'epoch': 0.0}
{'loss': 9.9518, 'grad_norm': 2.421875, 'learning_rate': 4.999998882608681e-05, 'epoch': 0.0}
{'loss': 9.7453, 'grad_norm': 1.953125, 'learning_rate': 4.9999988684197276e-05, 'epoch': 0.0}
{'loss': 9.8419, 'grad_norm': 1.8671875, 'learning_rate': 4.9999988541412546e-05, 'epoch': 0.0}
{'loss': 9.7143, 'grad_norm': 1.78125, 'learning_rate': 4.999998839773261e-05, 'epoch': 0.0}
{'loss': 9.6126, 'grad_norm': 1.984375, 'learning_rate': 4.999998825315748e-05, 'epoch': 0.0}
{'loss': 9.7289, 'grad_norm': 1.7265625, 'learning_rate': 4.9999988107687144e-05, 'epoch': 0.0}
{'loss': 9.6542, 'grad_norm': 2.296875, 'learning_rate': 4.9999987961321605e-05, 'epoch': 0.0}
{'loss': 9.8113, 'grad_norm': 1.9140625, 'learning_rate': 4.999998781406087e-05, 'epoch': 0.0}
{'loss': 9.8623, 'grad_norm': 1.9453125, 'learning_rate': 4.9999987665904926e-05, 'epoch': 0.0}
{'loss': 9.8735, 'grad_norm': 1.8828125, 'learning_rate': 4.999998751685377e-05, 'epoch': 0.0}
{'loss': 9.9819, 'grad_norm': 2.078125, 'learning_rate': 4.999998736690743e-05, 'epoch': 0.0}
{'loss': 9.782, 'grad_norm': 1.734375, 'learning_rate': 4.999998721606589e-05, 'epoch': 0.0}
{'loss': 9.6481, 'grad_norm': 2.59375, 'learning_rate': 4.999998706432914e-05, 'epoch': 0.0}
{'loss': 9.9307, 'grad_norm': 1.890625, 'learning_rate': 4.999998691169718e-05, 'epoch': 0.0}
{'loss': 9.9676, 'grad_norm': 2.234375, 'learning_rate': 4.9999986758170034e-05, 'epoch': 0.0}
{'loss': 9.7432, 'grad_norm': 2.1875, 'learning_rate': 4.999998660374768e-05, 'epoch': 0.0}
